company_name;salary
Hikvision;148400
iCore;66600
Oracle;62300
Philax;41400
OCS Distribution;124000
iCore;38100
ХайТэк;33200
Itransition;57600
TerraLink;45600
Angara;28900
Микрон;147000
Инфосистемы Джет;31000
Тринити;134900
Itransition;115400
Ситроникс;138600
Эвотор;45900
Инфосистемы Джет;117500
Лига Цифровой Экономики;53600
Инфосистемы Джет;108500
Эвотор;74800
Элтекс;43900
OCS Distribution;129200
OFT group;83200
iCore;135600
АйТеко;27500
OCS Distribution;81400
Тринити;77000
Аквариус;79900
Эвотор;61300
ХайТэк;69500
ИнфоТеКС;122900
Angara;109900
TerraLink;30700
Тринити;19900
Инлайн Груп;40300
OCS Distribution;48400
Itransition;49700
Аквариус;137400
ХайТэк;58900
iCore;50800
Аквариус;19100
Инфосистемы Джет;12900
iCore;46400
Гринатом;147500
Лига Цифровой Экономики;109700
Сигма;63100
OCS Distribution;104700
Тринити;127400
Форс;100900
Инфосистемы Джет;112000
ИнфоТеКС;96900
Softline;108900
Сигма;90300
Hikvision;12300
Сигма;78900
ИнфоТеКС;150000
Ситроникс;13200
Angara;104800
Лига Цифровой Экономики;123200
iCore;115000
IBS;120000
Инлайн Груп;62500
Аквариус;36100
АйТеко;70500
ИнфоТеКС;97200
Ситроникс;36900
Philax;18700
АйТеко;101400
Тринити;23800
OCS Distribution;78800
Тринити;23700
АйТеко;24100
IBS;14100
Сигма;11400
Лига Цифровой Экономики;12800
ХайТэк;39400
Инфосистемы Джет;20900
Hikvision;127300
OCS Distribution;43100
Hikvision;122300
OCS Distribution;141700
IBS;51200
Информзащита;18300
АйТеко;80700
OFT group;19100
ИнфоТеКС;86300
Инлайн Груп;61700
TerraLink;106200
ИнфоТеКС;70600
Лига Цифровой Экономики;128600
Softline;70600
Тринити;91700
iCore;34400
Тринити;133600
Аквариус;25500
Элтекс;86800
Ростелеком;97200
ХайТэк;135200
Лига Цифровой Экономики;44500
Ростелеком;67900
OFT group;12900
Инлайн Груп;112400
TerraLink;70600
Softline;136900
Форс;57700
Микрон;123400
Информзащита;121000
Инлайн Груп;78100
Элтекс;114200
TerraLink;149700
Atos;84300
Эвотор;134200
Эвотор;46300
TerraLink;145800
Инлайн Груп;120400
Тринити;69200
Atos;12600
Сигма;124800
Аквариус;105100
iCore;85900
Angara;75400
Инфосистемы Джет;92200
Эвотор;149500
Ростелеком;63000
Softline;35000
Информзащита;146400
Элтекс;18400
ХайТэк;22700
Инлайн Груп;126200
Philax;135900
Angara;80900
ИнфоТеКС;143500
Аквариус;71000
Лига Цифровой Экономики;135100
Тринити;91900
TerraLink;123800
Ситроникс;129000
OCS Distribution;37800
IBS;13000
iCore;126200
ИнфоТеКС;112000
Элтекс;83500
Микрон;14000
Эвотор;22000
АйТеко;95000
Ситроникс;45800
Инфосистемы Джет;70300
Информзащита;27700
Информзащита;104000
ХайТэк;117800
Элтекс;91600
Гринатом;92100
OFT group;141800
Инлайн Груп;134600
Softline;32900
iCore;19900
Эвотор;134900
Лига Цифровой Экономики;80300
ИнфоТеКС;138600
Сател;130200
TerraLink;52500
Форс;120600
Atos;91900
АйТеко;115700
Сател;54600
Itransition;89800
ИнфоТеКС;40500
OFT group;128200
Itransition;86800
Гринатом;26100
АйТеко;19000
Ситроникс;146100
Angara;10400
Аквариус;123100
OFT group;111200
IBS;130000
Hikvision;109400
Atos;95100
Ростелеком;136300
Информзащита;55800
Softline;88100
Гринатом;47400
Инлайн Груп;54700
Аквариус;70800
Эвотор;103900
Информзащита;133200
iCore;74400
Softline;95600
ИнфоТеКС;112800
Инлайн Груп;125400
OCS Distribution;28900
Сател;117000
OCS Distribution;95000
Сигма;17500
АйТеко;57800
Softline;94800
Информзащита;116600
Softline;80000
Softline;12400
Микрон;84100
Аквариус;53200
Softline;125100
ХайТэк;80900
ХайТэк;72400
IBS;127500
Элтекс;143300
Эвотор;113600
Softline;76400
Лига Цифровой Экономики;130100
iCore;33600
Angara;35400
Atos;18200
Сигма;12400
OCS Distribution;15500
Инфосистемы Джет;113400
Angara;63300
Itransition;59700
Инфосистемы Джет;141800
Atos;115700
Гринатом;60400
Информзащита;76600
iCore;75700
ХайТэк;60300
Тринити;58100
OCS Distribution;105800
Ростелеком;110000
OFT group;64700
Hikvision;137200
Philax;139000
Элтекс;96400
Микрон;25000
ХайТэк;136300
OFT group;133500
Инлайн Груп;84100
ХайТэк;61300
Atos;55700
АйТеко;112800
Тринити;32200
Инфосистемы Джет;87800
Softline;48600
Инфосистемы Джет;28100
Softline;84100
TerraLink;19100
Ростелеком;94200
АйТеко;79700
Oracle;38800
Форс;38300
Инлайн Груп;66000
Эвотор;57600
АйТеко;13900
OFT group;90800
iCore;107600
Oracle;66200
Гринатом;29900
Элтекс;127700
Ростелеком;129200
АйТеко;99600
Лига Цифровой Экономики;146800
Сател;31600
Atos;102700
Тринити;50700
Ситроникс;54100
Эвотор;28000
Ситроникс;104000
Ситроникс;25800
Сател;146200
ХайТэк;33400
Philax;32900
Информзащита;11900
Инлайн Груп;145100
Philax;81100
Atos;24400
Softline;87200
Oracle;124300
Аквариус;134300
Аквариус;140600
Лига Цифровой Экономики;149700
OCS Distribution;137900
Тринити;12300
Softline;93000
OFT group;27500
ХайТэк;39900
Ситроникс;82400
OFT group;59300
Atos;85700
ХайТэк;107000
Форс;61800
Philax;127100
iCore;139900
АйТеко;18500
ХайТэк;126600
АйТеко;99500
OCS Distribution;127800
IBS;57100
Philax;126500
Аквариус;138400
Микрон;44400
ИнфоТеКС;73200
Philax;95900
Гринатом;89800
Atos;72700
Лига Цифровой Экономики;33100
Сигма;126200
ИнфоТеКС;89800
Philax;80500
Atos;53900
АйТеко;81900
Itransition;63500
Форс;144500
Инлайн Груп;59800
Эвотор;70400
Аквариус;103200
Эвотор;70300
Ростелеком;149000
Atos;31500
Инфосистемы Джет;144400
Форс;31400
OFT group;52500
Тринити;83400
Микрон;45200
Angara;92700
Ситроникс;93300
Элтекс;104500
OCS Distribution;76100
iCore;86800
Лига Цифровой Экономики;26100
Itransition;47200
Oracle;117700
Тринити;40600
OFT group;131600
Itransition;58000
Сател;34700
АйТеко;76100
Angara;70100
Информзащита;30100
Ситроникс;13500
Гринатом;61600
Тринити;25300
Philax;125700
Atos;141600
Philax;44100
TerraLink;61000
Лига Цифровой Экономики;30800
IBS;64200
ХайТэк;121200
АйТеко;52400
Hikvision;46900
Philax;104000
Микрон;29900
Инфосистемы Джет;51200
АйТеко;95800
Ростелеком;10200
Эвотор;33900
Инлайн Груп;132600
Softline;20900
Сател;130300
Oracle;79400
Гринатом;106100
OCS Distribution;143400
Сател;45100
OCS Distribution;93100
ИнфоТеКС;136700
АйТеко;66800
Сател;121800
OCS Distribution;111500
АйТеко;64000
Аквариус;22500
IBS;56600
Softline;67500
Atos;29900
Гринатом;102300
Oracle;68000
Hikvision;138400
OCS Distribution;57500
Ростелеком;137900
ИнфоТеКС;27400
ИнфоТеКС;133400
OCS Distribution;21200
Аквариус;89000
Itransition;42600
Angara;26600
Ситроникс;130700
Hikvision;73500
IBS;35100
IBS;43100
Информзащита;47100
АйТеко;75200
Itransition;43700
Atos;24800
Гринатом;11700
Ростелеком;138200
Гринатом;144000
Ростелеком;61700
OCS Distribution;26400
Itransition;74600
Аквариус;133800
OCS Distribution;69900
ХайТэк;69800
Oracle;67000
Инфосистемы Джет;148900
Эвотор;103600
Сател;144300
Atos;64800
Softline;64800
ХайТэк;116000
Сигма;121500
АйТеко;116800
Oracle;134900
Ситроникс;49100
OCS Distribution;64400
ИнфоТеКС;19500
Ростелеком;43200
АйТеко;30900
OCS Distribution;25800
Элтекс;138700
Atos;36500
Сател;65800
Эвотор;124900
Сател;133500
Angara;66000
Itransition;40200
Angara;38800
Форс;141700
Ростелеком;143800
Лига Цифровой Экономики;27600
Аквариус;140800
Hikvision;23500
Hikvision;107300
TerraLink;84600
Сигма;126400
Angara;104200
OCS Distribution;71500
Itransition;41600
Гринатом;80200
OFT group;143100
Softline;110800
Angara;32400
Гринатом;80800
Сател;104700
АйТеко;76100
Гринатом;94300
OFT group;88600
Элтекс;80900
Инфосистемы Джет;90200
АйТеко;143200
TerraLink;69800
ИнфоТеКС;83200
Эвотор;123600
Сател;112300
ХайТэк;18600
Элтекс;139800
ИнфоТеКС;80500
Инлайн Груп;102700
Форс;114100
ИнфоТеКС;44000
Сигма;95100
Аквариус;22400
Элтекс;48000
Angara;66800
Сател;37000
Itransition;26300
Инлайн Груп;70900
Philax;90400
Форс;133600
Микрон;106300
Форс;37900
Микрон;85000
Softline;130100
Лига Цифровой Экономики;78400
Эвотор;46200
Сател;29900
Инлайн Груп;52800
Ростелеком;118400
Микрон;71100
Ситроникс;106600
Элтекс;145300
Atos;136000
Аквариус;22300
Ростелеком;63300
Ростелеком;71300
Ростелеком;126300
OFT group;13100
Инфосистемы Джет;78500
Softline;115100
OFT group;137500
TerraLink;39700
ИнфоТеКС;72800
Softline;122400
Ситроникс;65600
Тринити;43800
Angara;121600
Oracle;130100
Лига Цифровой Экономики;36900
Лига Цифровой Экономики;11400
Ситроникс;20800
Лига Цифровой Экономики;11800
Itransition;59700
Эвотор;30900
ИнфоТеКС;125300
Itransition;135000
Сигма;110200
Ростелеком;109800
Форс;88600
Сигма;90700
TerraLink;113300
OFT group;102000
Инлайн Груп;82300
Ростелеком;76900
Тринити;112600
Сател;96100
Гринатом;140300
Форс;56600
iCore;105600
Itransition;149700
Angara;111000
TerraLink;35500
Гринатом;27800
Itransition;46000
Ростелеком;88800
ИнфоТеКС;58400
Hikvision;120100
Itransition;126100
Элтекс;95300
Тринити;76900
Oracle;111200
Инлайн Груп;137800
Hikvision;133900
Hikvision;121900
Микрон;104100
Сател;121500
Инлайн Груп;18100
Angara;86300
ХайТэк;125000
Инлайн Груп;45400
Инфосистемы Джет;15700
Тринити;24100
iCore;115600
Элтекс;55400
TerraLink;52100
Ситроникс;113800
Philax;91900
Ситроникс;40700
OCS Distribution;42300
Лига Цифровой Экономики;122400
Oracle;54500
ИнфоТеКС;12100
Микрон;147200
Angara;141300
Аквариус;29300
TerraLink;11000
Инлайн Груп;142500
Philax;50100
Itransition;43600
Softline;101400
Сигма;27900
Аквариус;75100
IBS;52100
Itransition;147900
ХайТэк;31900
iCore;20200
OFT group;35800
Лига Цифровой Экономики;139600
Ситроникс;31500
Лига Цифровой Экономики;62200
Angara;130100
Ростелеком;16000
Тринити;133500
IBS;19100
Ситроникс;102000
Лига Цифровой Экономики;114500
Эвотор;131900
АйТеко;86800
Ситроникс;88100
IBS;120500
Микрон;123300
Сигма;44000
TerraLink;108500
Atos;47600
ИнфоТеКС;47000
Softline;59600
АйТеко;133900
Philax;121200
Ростелеком;97800
Softline;104000
ХайТэк;147900
OFT group;33100
Angara;110900
Сигма;89900
TerraLink;24000
Микрон;140000
ХайТэк;71700
Сигма;19600
iCore;123300
ХайТэк;55500
iCore;69700
Лига Цифровой Экономики;42500
Angara;109000
ИнфоТеКС;72200
Инфосистемы Джет;31600
Элтекс;126700
Atos;136100
Форс;73900
Itransition;113600
Микрон;118600
Сигма;123000
OFT group;137500
Форс;47300
OCS Distribution;67400
TerraLink;23500
Ростелеком;80400
Информзащита;22000
Инфосистемы Джет;144500
ХайТэк;57100
Atos;53000
Элтекс;149800
Аквариус;112100
Itransition;135600
Softline;61200
TerraLink;95900
Itransition;48500
Аквариус;121500
Аквариус;91000
OFT group;109500
Philax;15300
Ситроникс;66600
Atos;96800
OCS Distribution;118100
Oracle;86100
Форс;83800
Аквариус;14500
Инфосистемы Джет;19700
Инлайн Груп;27100
Softline;97100
ИнфоТеКС;57700
Гринатом;39500
Эвотор;66500
Инфосистемы Джет;123600
Элтекс;32900
ХайТэк;73900
Ситроникс;20700
Oracle;54600
Элтекс;126600
Itransition;112700
Oracle;36300
Информзащита;139500
Эвотор;74800
Philax;34200
Atos;35700
АйТеко;62100
Элтекс;82400
Эвотор;52900
Philax;14600
Информзащита;72500
Ситроникс;135100
АйТеко;20600
IBS;57200
Элтекс;25000
Форс;21600
Philax;37200
Сател;143900
Микрон;110800
Сател;99600
OFT group;82600
Hikvision;117700
Форс;102200
Itransition;142100
Сигма;39800
Oracle;138000
Тринити;135200
Atos;65900
Ростелеком;126400
iCore;137300
Ростелеком;31300
Сател;85600
Микрон;82900
iCore;144500
Atos;108900
Itransition;50400
Сигма;142600
Элтекс;25800
Ростелеком;85900
Лига Цифровой Экономики;92100
ХайТэк;69300
Philax;112300
Сигма;131200
Atos;116900
ИнфоТеКС;118200
Itransition;95500
Аквариус;136400
IBS;54800
IBS;39900
АйТеко;77500
АйТеко;135000
IBS;53000
iCore;103700
Форс;19500
Ситроникс;73400
Сигма;99200
Ситроникс;57100
iCore;68800
OFT group;137600
Philax;34900
ИнфоТеКС;32400
Oracle;60500
Инлайн Груп;81900
TerraLink;95200
Ростелеком;118300
Инлайн Груп;65200
ИнфоТеКС;69100
Инлайн Груп;110900
Oracle;81500
Philax;18100
Oracle;147500
Сигма;118700
Информзащита;133700
Angara;93100
Информзащита;38200
Ростелеком;142900
Softline;35100
iCore;117900
Atos;149800
Ситроникс;101500
IBS;92100
Тринити;21000
Форс;18600
Itransition;100500
Atos;145900
Philax;125800
TerraLink;127200
Ситроникс;142700
Сигма;40500
Тринити;116900
Форс;59300
Itransition;43800
Информзащита;22300
Philax;110400
ИнфоТеКС;111300
OFT group;44500
Лига Цифровой Экономики;140500
Ситроникс;119300
OCS Distribution;62700
Микрон;59400
Информзащита;24200
Сигма;66200
ИнфоТеКС;15100
Itransition;69000
Ростелеком;16800
Гринатом;36400
Инфосистемы Джет;99300
Softline;43600
Информзащита;39000
Сигма;92700
OCS Distribution;90800
OCS Distribution;138900
Atos;22300
АйТеко;149300
Элтекс;45300
Аквариус;61100
ИнфоТеКС;12700
Hikvision;77800
Сигма;132800
Hikvision;130100
Инлайн Груп;104000
Информзащита;58900
АйТеко;102400
Atos;28400
OFT group;15700
Гринатом;139200
Лига Цифровой Экономики;132300
Ростелеком;51300
Atos;124000
Oracle;16000
Ростелеком;96400
Инфосистемы Джет;101300
Ростелеком;124900
Эвотор;50300
Сигма;95500
Инлайн Груп;148900
Сигма;66500
Форс;53700
Эвотор;106900
Philax;62200
Atos;17300
OCS Distribution;21700
Форс;43700
Itransition;73400
Сател;82700
Микрон;104700
OFT group;17300
Hikvision;95800
OFT group;141400
Гринатом;58300
Сател;115700
Элтекс;31900
Форс;88900
Angara;107400
Тринити;23200
Микрон;95800
Тринити;79000
Softline;11000
Сател;82600
Форс;99600
Форс;49800
OCS Distribution;89800
Ситроникс;139700
Инфосистемы Джет;74400
Информзащита;44500
Softline;127100
OCS Distribution;56300
Philax;96300
iCore;146200
Форс;25000
Лига Цифровой Экономики;31100
IBS;142300
Инфосистемы Джет;78200
Аквариус;105300
Softline;71400
OFT group;96200
Philax;105200
Angara;16800
Сател;66800
IBS;72500
TerraLink;146600
АйТеко;59100
OFT group;68600
Сигма;34800
Аквариус;20000
Лига Цифровой Экономики;39600
iCore;83900
ИнфоТеКС;102600
Лига Цифровой Экономики;27300
Микрон;29000
Сател;42800
Аквариус;107000
Angara;10100
OCS Distribution;47100
Ситроникс;59800
OCS Distribution;76500
OCS Distribution;36200
АйТеко;39400
Инлайн Груп;10200
Сател;83800
Oracle;127400
Информзащита;40900
Ситроникс;79300
Itransition;22400
Аквариус;24200
Сигма;30800
Инфосистемы Джет;76900
Angara;21800
OFT group;22200
Эвотор;58500
Аквариус;106500
Гринатом;36600
Atos;15400
IBS;135400
Тринити;92700
Лига Цифровой Экономики;96500
Информзащита;48200
TerraLink;131000
ИнфоТеКС;97000
Angara;59100
Oracle;59100
iCore;128200
Форс;79300
Инфосистемы Джет;89700
Аквариус;146700
iCore;98600
OCS Distribution;77400
Oracle;34900
Информзащита;53600
Лига Цифровой Экономики;91200
OFT group;128100
Тринити;36200
Ситроникс;138500
Ростелеком;137000
OFT group;64600
Инлайн Груп;73300
Сигма;29200
Itransition;127800
iCore;63000
Микрон;61900
Элтекс;100100
Тринити;20300
Ситроникс;35300
ИнфоТеКС;112800
Сигма;26100
Atos;20400
Элтекс;128200
Тринити;34000
Ситроникс;145200
Ситроникс;14700
Oracle;74300
Инфосистемы Джет;86500
Softline;139300
Инлайн Груп;111400
OFT group;83700
Инлайн Груп;118200
IBS;51200
Ситроникс;52200
Микрон;20500
OCS Distribution;57600
Инфосистемы Джет;15000
Ситроникс;52800
Hikvision;63100
Philax;10200
OCS Distribution;104700
Информзащита;146200
Сигма;62600
Тринити;90300
Элтекс;16400
Инфосистемы Джет;150000
Сигма;125800
Angara;79300
Лига Цифровой Экономики;41900
Элтекс;82800
Ситроникс;77200
Philax;20500
Softline;148700
Гринатом;84800
ИнфоТеКС;38600
Микрон;56600
Микрон;106300
Информзащита;35000
Элтекс;149600
Элтекс;101600
IBS;110800
IBS;122500
Philax;128100
Softline;50100
OFT group;93800
Инфосистемы Джет;124700
OFT group;42800
TerraLink;47700
Сигма;77200
Itransition;62900
ХайТэк;107400
Atos;142400
Philax;79900
Oracle;19000
ИнфоТеКС;146700
OCS Distribution;149700
Лига Цифровой Экономики;128100
Hikvision;76700
Микрон;148200
TerraLink;55900
Angara;29100
Инфосистемы Джет;53400
ИнфоТеКС;120700
Информзащита;137800
Эвотор;43100
Сигма;115600
Itransition;143000
АйТеко;105300
Angara;32800
Сигма;120400
Сигма;36800
Элтекс;51800
Аквариус;14200
Itransition;55200
iCore;98700
Atos;90600
Atos;53500
IBS;103600
Ситроникс;127100
Philax;97500
Сигма;132100
Гринатом;24300
TerraLink;15000
Atos;92600
Oracle;43500
Ситроникс;25400
Oracle;17400
ХайТэк;12600
Эвотор;122400
Oracle;80300
Angara;47100
Hikvision;12100
Гринатом;125600
Ситроникс;62700
Сигма;23600
Oracle;94000
OFT group;28900
iCore;89300
OFT group;83400
Itransition;133600
Аквариус;134000
Ростелеком;42900
Сател;36600
ИнфоТеКС;108900
Аквариус;118200
Элтекс;37300
Softline;135800
Angara;94200
Philax;135200
OCS Distribution;125400
Ростелеком;108900
Эвотор;135000
Инлайн Груп;67600
Инфосистемы Джет;70700
Angara;124300
Лига Цифровой Экономики;10200
Эвотор;56900
Форс;112000
Микрон;129900
Hikvision;103900
Angara;27100
Элтекс;45900
IBS;136500
Atos;46500
Ситроникс;32100
Ростелеком;121500
Oracle;63500
Itransition;147300
Лига Цифровой Экономики;61700
Микрон;82100
Информзащита;15400
Ростелеком;148800
Элтекс;72700
Эвотор;11800
Hikvision;25800
Лига Цифровой Экономики;142500
Тринити;64400
Микрон;117600
Hikvision;90200
Инфосистемы Джет;73900
Hikvision;32300
Инфосистемы Джет;40000
Аквариус;133200
Аквариус;134100
Philax;16000
Сигма;69800
Форс;128800
Гринатом;79700
Atos;65400
ИнфоТеКС;109200
Angara;94400
TerraLink;119700
OFT group;26000
Элтекс;52800
TerraLink;63500
Ситроникс;24600
OFT group;140300
Форс;143100
Инфосистемы Джет;100200
Angara;29800
Эвотор;141700
Itransition;48700
Softline;85700
АйТеко;24400
Лига Цифровой Экономики;77800
Эвотор;70100
Гринатом;46600
Ситроникс;40000
Инфосистемы Джет;88200
iCore;125300
Гринатом;110400
Сигма;122700
АйТеко;146200
iCore;147300
Гринатом;107000
АйТеко;37300
Информзащита;67300
Аквариус;134300
Ситроникс;149100
Oracle;62700
iCore;135000
Softline;87200
Angara;108800
АйТеко;91200
IBS;146900
Angara;144500
iCore;23800
Atos;83900
Ростелеком;45000
Гринатом;12600
Atos;56500
Ситроникс;117100
iCore;105800
Тринити;134200
Сател;146300
Тринити;95300
OCS Distribution;127400
Микрон;131600
Микрон;137400
Инлайн Груп;29300
ХайТэк;99900
Itransition;94300
Инлайн Груп;58000
Atos;45000
Инлайн Груп;12900
Ситроникс;73600
iCore;81400
Тринити;44900
iCore;34200
Angara;98000
Тринити;130600
OFT group;51000
iCore;35300
Тринити;35400
OCS Distribution;95400
Hikvision;105500
IBS;106900
Микрон;130700
Сател;98800
Инфосистемы Джет;14500
АйТеко;26400
Тринити;103800
IBS;24200
Инлайн Груп;81200
TerraLink;144400
ХайТэк;149700
Angara;102600
ИнфоТеКС;94200
Ростелеком;95600
Аквариус;51400
TerraLink;28700
iCore;85400
Ситроникс;10600
Эвотор;73400
Гринатом;35600
OFT group;14100
Элтекс;13500
Форс;77000
Элтекс;87300
iCore;69000
Инфосистемы Джет;25900
Гринатом;31700
Тринити;81600
Инлайн Груп;127300
IBS;30400
Элтекс;79600
Информзащита;24100
Инфосистемы Джет;71700
Atos;83500
Инлайн Груп;33600
OFT group;77300
Philax;103700
ХайТэк;135500
Сигма;87900
Лига Цифровой Экономики;34100
Инлайн Груп;147200
Сател;33900
TerraLink;44200
TerraLink;84700
Ростелеком;95400
Ситроникс;31200
Philax;104100
Информзащита;135100
Ситроникс;29700
Oracle;42800
Инлайн Груп;56000
TerraLink;49700
Инлайн Груп;28600
ИнфоТеКС;124300
Гринатом;75000
Hikvision;70600
Гринатом;20600
Atos;111400
Инлайн Груп;43700
Инлайн Груп;95800
Инлайн Груп;82800
OCS Distribution;76700
IBS;82900
IBS;12100
АйТеко;78300
iCore;50400
Форс;98700
iCore;52100
Эвотор;40900
Сигма;81100
Atos;130600
Сател;34300
Инлайн Груп;36600
ХайТэк;75500
Лига Цифровой Экономики;58400
Ростелеком;10400
Тринити;91500
Инлайн Груп;140800
Ситроникс;18100
Информзащита;77300
Itransition;66200
Лига Цифровой Экономики;138100
Лига Цифровой Экономики;64100
IBS;62500
Atos;128000
OFT group;74300
Philax;20000
Softline;95900
Angara;130000
iCore;80500
Инфосистемы Джет;82300
Аквариус;56400
Инлайн Груп;35800
Сигма;86300
Инлайн Груп;80800
iCore;46600
Гринатом;25900
Hikvision;36300
Ростелеком;113400
Эвотор;66600
Аквариус;106700
Oracle;110100
Аквариус;73400
Микрон;22600
IBS;90300
Сател;90100
Ростелеком;131700
Гринатом;139400
Oracle;112200
OCS Distribution;51900
Ситроникс;141900
Hikvision;121000
Лига Цифровой Экономики;82700
Philax;132400
Аквариус;115000
iCore;133700
Oracle;28200
Philax;96600
Гринатом;54700
Гринатом;124100
IBS;118000
Лига Цифровой Экономики;84400
Ситроникс;31900
Гринатом;115100
TerraLink;95200
Инфосистемы Джет;130200
Эвотор;98000
Гринатом;107000
Сател;26800
Philax;128600
ХайТэк;111100
Oracle;94300
ИнфоТеКС;99300
Ростелеком;14900
Элтекс;131900
OFT group;116600
ИнфоТеКС;80600
АйТеко;124500
Softline;54500
Гринатом;11600
Гринатом;20600
Hikvision;124400
Сигма;85100
Инлайн Груп;32200
OCS Distribution;118700
Информзащита;93900
iCore;89800
OFT group;85000
Ростелеком;122500
IBS;56200
Инфосистемы Джет;62800
Ростелеком;46700
Гринатом;14600
ХайТэк;109100
Аквариус;57300
ХайТэк;20900
Angara;43400
Philax;149000
Микрон;10500
Oracle;83500
АйТеко;92500
Аквариус;39700
OCS Distribution;15200
Hikvision;39000
Эвотор;146400
Ростелеком;118600
Инлайн Груп;74300
iCore;145700
OFT group;139000
Itransition;33900
АйТеко;58000
Лига Цифровой Экономики;117600
ИнфоТеКС;128300
Philax;48900
ХайТэк;16900
OCS Distribution;102300
TerraLink;95700
ХайТэк;104300
TerraLink;120300
Ситроникс;65900
Сател;36900
Сигма;134300
Сигма;23500
Сател;54300
Аквариус;77200
Itransition;108400
Сател;131900
Itransition;58400
ХайТэк;56900
Ситроникс;99200
Аквариус;77700
Инлайн Груп;133400
Форс;63200
Микрон;50300
Микрон;47000
Информзащита;123400
Atos;81000
Эвотор;15000
IBS;37500
iCore;43800
iCore;27900
Инлайн Груп;126100
Softline;105800
Эвотор;50200
Тринити;24200
Эвотор;54900
Ростелеком;15700
Инфосистемы Джет;43500
Тринити;111700
Инлайн Груп;23000
Инлайн Груп;18600
Микрон;128800
Лига Цифровой Экономики;148400
Philax;83700
Информзащита;129100
Сател;124300
Hikvision;14900
Элтекс;36700
OCS Distribution;23100
Аквариус;77300
Сигма;104800
Сател;114100
Гринатом;37100
Инлайн Груп;65900
АйТеко;113200
Форс;86700
Элтекс;66400
Гринатом;34300
OFT group;26100
Инлайн Груп;70200
OFT group;139600
iCore;82000
OCS Distribution;138800
ИнфоТеКС;148400
IBS;120800
Аквариус;106400
АйТеко;139100
Сател;32100
АйТеко;101800
Ростелеком;22400
Форс;82200
Softline;123500
Инфосистемы Джет;131100
Ростелеком;78900
TerraLink;73400
iCore;16900
Сигма;48000
Форс;67700
Микрон;29400
IBS;78200
Аквариус;89600
Лига Цифровой Экономики;130100
ХайТэк;52000
Atos;43900
Ростелеком;99200
iCore;77500
IBS;36100
Тринити;119400
IBS;103300
Лига Цифровой Экономики;67100
Softline;11300
Лига Цифровой Экономики;123400
Микрон;13700
Тринити;44600
Philax;69100
Hikvision;65000
Форс;29300
Ростелеком;109700
Angara;101900
TerraLink;101100
Oracle;25200
Hikvision;106900
TerraLink;67800
Сигма;118100
Angara;102300
Информзащита;67900
Микрон;23300
IBS;111500
Сигма;66100
OFT group;54200
Itransition;147700
Сигма;12500
Angara;131000
OCS Distribution;135200
Сател;27900
Информзащита;132600
ХайТэк;74100
Ситроникс;128600
Сигма;102100
Форс;16100
ИнфоТеКС;83000
ХайТэк;141100
iCore;143300
IBS;40900
OCS Distribution;70300
TerraLink;117100
Softline;80800
Atos;107400
Philax;106700
Инфосистемы Джет;106000
Микрон;60000
Информзащита;43200
Сател;62500
Форс;134900
Ситроникс;17800
Сател;115600
Инфосистемы Джет;93400
IBS;131700
Форс;24800
Oracle;119800
Элтекс;86000
Микрон;92700
iCore;55000
Softline;133100
Эвотор;72500
ХайТэк;136900
Oracle;148300
Инлайн Груп;76500
Эвотор;63000
Микрон;15600
OCS Distribution;64100
OFT group;49700
Itransition;29200
TerraLink;33300
OCS Distribution;129600
Angara;19100
Аквариус;65700
АйТеко;147300
АйТеко;137600
Сигма;33200
Itransition;114500
Тринити;62300
Лига Цифровой Экономики;149100
Philax;139500
Информзащита;67600
Инлайн Груп;123600
Элтекс;120500
ХайТэк;145900
Angara;63400
Oracle;115900
Форс;122900
ИнфоТеКС;13500
Форс;27600
TerraLink;104500
ИнфоТеКС;132600
Oracle;87400
ИнфоТеКС;141800
Сател;132900
Аквариус;106400
Инфосистемы Джет;41300
IBS;149600
Инфосистемы Джет;144500
Информзащита;32300
Hikvision;45000
Тринити;60900
Сигма;118800
Тринити;13000
Информзащита;62400
Микрон;20700
Инфосистемы Джет;17900
Angara;75400
Hikvision;74300
Аквариус;115700
iCore;50100
Эвотор;40600
ХайТэк;86800
Сигма;17700
Лига Цифровой Экономики;118000
ИнфоТеКС;71800
iCore;56800
АйТеко;47400
Аквариус;17500
ХайТэк;103100
ХайТэк;22000
Oracle;109100
Инлайн Груп;135900
Элтекс;126800
Oracle;98600
OCS Distribution;80000
Лига Цифровой Экономики;62700
Ростелеком;88200
ХайТэк;36300
Oracle;37800
Тринити;60400
ИнфоТеКС;131600
Эвотор;41400
OCS Distribution;99000
Softline;73800
Аквариус;33100
ИнфоТеКС;145800
Softline;80900
Itransition;33900
Hikvision;70000
Сигма;57000
Лига Цифровой Экономики;66300
OFT group;17400
TerraLink;132800
ХайТэк;145800
Микрон;132400
Oracle;120300
TerraLink;117300
Элтекс;139900
Лига Цифровой Экономики;118800
Oracle;63200
Инфосистемы Джет;73600
Гринатом;79500
OFT group;108500
ИнфоТеКС;62500
Инфосистемы Джет;53300
Форс;147400
Инлайн Груп;149800
Philax;141400
Элтекс;114500
Аквариус;90800
Atos;69000
Softline;85200
Ростелеком;125600
iCore;137700
Сател;124200
Инлайн Груп;24900
Тринити;134900
Аквариус;146700
iCore;66800
Микрон;36500
OCS Distribution;50000
Эвотор;91600
